Título,Descripción,Categoría,Latitud,Longitud,Fecha del hecho
Muerte de Rodolfo Cortés,Decía tener grabaciones de los gritos antes del impacto. Murió repentinamente.,MenemJr,-34.63,-58.44,1996-01-15
Desaparición del Rolex,El reloj de Menem Jr desapareció y reapareció años más tarde sin explicación.,MenemJr,-34.603,-58.381,1995-03-15
Valija desaparecida,Habría un maletín con USD 30.000 que nunca volvió a aparecer.,MenemJr,-33.398,-60.033,1995-03-15
Pérdida de partes del helicóptero,La aeronave fue entregada rápidamente a la aseguradora y desaparecieron piezas clave.,MenemJr,-33.398,-60.033,1995-03-16
Pericia incompleta,Solo se examinó un fragmento del helicóptero en vez de toda la estructura.,MenemJr,-33.398,-60.033,1995-03-20
Autopsia tardía,La autopsia al cuerpo de Menem Jr se realizó con irregularidades y demoras.,MenemJr,-34.603,-58.381,1995-03-16
Dudas sobre identidad del cuerpo,La madre llegó a desconfiar que el cuerpo fuera realmente el de su hijo.,MenemJr,-34.603,-58.381,1995-03-17
Reapertura del caso 2010,La causa archivada en 1998 fue reabierta por nuevas inconsistencias.,MenemJr,-34.603,-58.381,2010-04-10
Declaración pública de Menem (2016),El expresidente afirmó en TV que a su hijo lo mataron en un atentado.,MenemJr,-34.603,-58.381,2016-05-20
Teoría de represalia siria,Se sugiere ajuste de cuentas por un reactor nuclear prometido a Siria y no entregado.,MenemJr,-34.603,-58.381,1988-05-12
Declaraciones de Domingo Cavallo,Cavallo relacionó el atentado con Yabrán y Siria.,MenemJr,-34.603,-58.381,2017-04-01
Sospecha sobre Yabrán,Se menciona al empresario como figura vinculada a operaciones encubiertas.,MenemJr,-34.603,-58.381,1995-04-01
Robo del helicóptero previo,Testigos afirmaron haber visto un vehículo desconocido en la zona horas previas a la caída.,MenemJr,-33.405,-60.02,1995-03-15
Impactos en la chapa,Fotografías mostraban perforaciones que podrían ser balazos.,MenemJr,-33.398,-60.033,1995-03-15
Análisis balístico rechazado,El juez Villafuerte Russo desestimó informes sobre posibles disparos.,MenemJr,-34.603,-58.381,1997-01-02
Actuación brusca de ambulancia,"Los paramédicos manipularon el cuerpo con violencia, según testigos.",MenemJr,-33.398,-60.033,1995-03-15
Helicóptero volando bajo,Al menos 55 testigos afirmaron ver la aeronave a muy poca altura.,MenemJr,-33.398,-60.033,1995-03-15
Interferencia en radio del piloto,"Silvio Oltra habría reportado problemas antes del impacto, no registrados oficialmente.",MenemJr,-34.6,-58.4,1995-03-15
Supuesto tercer ocupante,"Rumores indicaban que una mujer viajaba a bordo, aunque nunca se probó.",MenemJr,-33.398,-60.033,1995-03-15
Desaparición de documentación,Sobres y papeles hallados en el lugar desaparecieron antes del peritaje.,MenemJr,-33.398,-60.033,1995-03-15
Falla eléctrica no comprobada,Nunca se probó oficialmente que se cortaran cables de alta tensión.,MenemJr,-33.398,-60.033,1995-03-15
Alteración del área del siniestro,La zona fue intervenida antes de la llegada de algunos peritos.,MenemJr,-33.398,-60.033,1995-03-15
Contradicciones entre testigos,Varios testimonios fueron modificados o retirados posteriormente.,MenemJr,-34.6,-58.4,1995-04-01
Desaparición de evidencia fotográfica,Algunas fotos originales del lugar se extraviaron del expediente.,MenemJr,-34.603,-58.381,1996-02-12
Amenaza a periodistas,Reporteros que cubrían el caso denunciaron presiones y advertencias.,MenemJr,-34.603,-58.381,1995-05-30
Custodios incomunicados,Los agentes que lo escoltaban no declararon públicamente durante meses.,MenemJr,-34.603,-58.381,1995-03-20
Vehículo sospechoso en la ruta 9,Testigos vieron un auto siguiéndolo antes del despegue.,MenemJr,-33.9,-60.1,1995-03-15
Primer sobrevuelo extraño,Pobladores afirmaron haber oído un estruendo antes de la explosión final.,MenemJr,-33.398,-60.033,1995-03-15
Reaparición inexplicable del Rolex,El reloj reapareció años más tarde sin registro de recuperación.,MenemJr,-34.603,-58.381,2000-06-01
Dudosa actuación judicial,El juez Villafuerte Russo fue acusado de desestimar pruebas clave.,MenemJr,-34.603,-58.381,1998-03-11
Hallazgo de restos metálicos ajenos,Peritos independientes afirmaron hallar fragmentos no pertenecientes al helicóptero.,MenemJr,-33.398,-60.033,1995-03-16
Contradicción en tiempo de muerte,Informes médicos no coincidieron en el horario exacto del fallecimiento.,MenemJr,-34.603,-58.381,1995-03-15
Supuesto mensaje mafioso,Se interpretó el hecho como advertencia a Menem por acuerdos no cumplidos.,MenemJr,-34.603,-58.381,1995-03-15
