titulo,descripcion,categoria,latitud,longitud,fecha
"Corte parcial por protesta en Villa Mercedes, San Luis",Vecinos informan una manifestación en inmediaciones de una escuela. Hay cortes parciales/total de calzada y demoras. Se recomienda usar vías alternativas.,Protesta,-33.664737,-65.464974,8/24/2024
"Choque en San Fernando del Valle de Catamarca, Catamarca: tránsito reducido",Testigos informan (en las últimas horas) un accidente de tránsito sobre un acceso principal. Se recomienda tomar desvíos y respetar indicaciones del personal en el lugar.,Accidente vial,-28.488659,-65.798284,5/29/2024
"Atención: aumento de consultas respiratorias en Puerto Iguazú, Misiones","Vecinos informan (en las últimas horas) alta demanda en guardias en un área industrial. Se recomienda uso de barbijo en centros de salud si hay síntomas y ventilar ambientes. Si tenés info actualizada, comentá para ayudar a otros.",Salud,-25.572087,-54.564302,2/25/2024
"Derrame de combustible en Campana, Buenos Aires: calzada resbaladiza","Se reporta un derrame de combustible en la salida hacia la ruta. Personal trabaja en la limpieza. Circular con extrema precaución y mantener distancia. Si tenés info actualizada, comentá para ayudar a otros.",Derrame,-34.166573,-58.977763,8/1/2024
"Derrame de combustible en Corrientes, Corrientes: calzada resbaladiza","Se reporta (al mediodía) un derrame de combustible en un área industrial. Personal trabaja en la limpieza. Circular con extrema precaución y mantener distancia. Si tenés info actualizada, comentá para ayudar a otros.",Derrame,-27.467003,-58.803663,9/20/2025
"Atención: aumento de consultas respiratorias en San Luis, San Luis","Vecinos informan (esta tarde) alta demanda en guardias en la salida hacia la ruta. Se recomienda uso de barbijo en centros de salud si hay síntomas y ventilar ambientes. Si tenés info actualizada, comentá para ayudar a otros.",Salud,-33.295563,-66.339351,4/28/2024
"Alerta por robos en Gualeguaychú, Entre Ríos: piden reforzar cuidados","Se reportan (esta tarde) hechos de inseguridad cerca de un parque/plaza. Vecinos solicitan mayor presencia policial. Evitar exhibir objetos de valor y denunciar al 911. Si tenés info actualizada, comentá para ayudar a otros.",Robo,-32.994979,-58.518483,12/9/2025
"Calles anegadas en Mar del Plata, Buenos Aires tras lluvias intensas","Vecinos informan anegamientos y acumulación de agua en un corredor comercial. Hay demoras en el tránsito y se solicita circular con precaución. Si tenés info actualizada, comentá para ayudar a otros.",Inundación,-37.980651,-57.527111,11/1/2024
"Deslizamiento de ladera en Ushuaia, Tierra del Fuego: precaución en accesos",Se reporta un deslizamiento de tierra/rocas en un puente/viaducto. Puede haber calzada parcial o totalmente obstruida. Evitar transitar la zona hasta nuevo aviso.,Deslizamiento,-54.818532,-68.300506,5/29/2025
"Incendio forestal cerca de San Juan, San Juan: humo visible",Se reporta (en las últimas horas) un foco de incendio en vegetación en la salida hacia la ruta. Brigadistas trabajan para contenerlo. No acercarse a la zona y reportar nuevos focos.,Incendio forestal,-31.537933,-68.52254,1/29/2024
"Corte de luz en Necochea, Buenos Aires: cuadrillas revisan la red",Se registran interrupciones del servicio eléctrico sobre un acceso principal. La empresa distribuidora indicó tareas de reparación. Se sugiere desconectar artefactos sensibles.,Corte de energía,-38.548166,-58.709779,12/23/2024
"Incendio en San Carlos de Bariloche, Río Negro: bomberos trabajan en el lugar","Se reporta (esta noche) un incendio sobre un acceso principal. Bomberos y Defensa Civil acudieron al lugar. Se recomienda evitar la zona y no inhalar humo. Si tenés info actualizada, comentá para ayudar a otros.",Incendio,-41.126056,-71.286281,1/2/2024
"Calles anegadas en Rosario, Santa Fe tras lluvias intensas",Vecinos informan anegamientos y acumulación de agua en la salida hacia la ruta. Hay demoras en el tránsito y se solicita circular con precaución. Algunos desagües se vieron superados por la intensidad de la lluvia.,Inundación,-32.945518,-60.669789,10/13/2025
"Corte parcial por protesta en Campana, Buenos Aires",Vecinos informan (al mediodía) una manifestación en la salida hacia la ruta. Hay cortes parciales/total de calzada y demoras. Se recomienda usar vías alternativas.,Protesta,-34.1804,-58.981578,6/3/2024
"Deslizamiento de ladera en San Miguel de Tucumán, Tucumán: precaución en accesos",Se reporta un deslizamiento de tierra/rocas en un área industrial. Puede haber calzada parcial o totalmente obstruida. Evitar transitar la zona hasta nuevo aviso.,Deslizamiento,-26.817276,-65.21468,5/14/2024
"Demoras en transporte en Concordia, Entre Ríos","Usuarios informan demoras y cancelaciones cerca de una estación de servicio. Se recomienda consultar estados oficiales y prever tiempos extra. Si tenés info actualizada, comentá para ayudar a otros.",Transporte,-31.373231,-58.038237,9/14/2024
"Ráfagas fuertes en Caleta Olivia, Santa Cruz: caída de ramas y carteles","Se reportan ráfagas intensas en un área industrial. Hay ramas caídas y reducción de visibilidad en algunos tramos. Evitar circular bajo árboles y estructuras inestables. Si tenés info actualizada, comentá para ayudar a otros.",Vientos fuertes,-46.419948,-67.554346,12/28/2024
"Atención: aumento de consultas respiratorias en Termas de Río Hondo, Santiago del Estero","Vecinos informan alta demanda en guardias en un corredor comercial. Se recomienda uso de barbijo en centros de salud si hay síntomas y ventilar ambientes. Si tenés info actualizada, comentá para ayudar a otros.",Salud,-27.493401,-64.857091,6/20/2025
"Atención: aumento de consultas respiratorias en Orán, Salta",Vecinos informan alta demanda en guardias cerca de una estación de servicio. Se recomienda uso de barbijo en centros de salud si hay síntomas y ventilar ambientes.,Salud,-23.158512,-64.344606,9/25/2025
"Incendio en Clorinda, Formosa: bomberos trabajan en el lugar",Se reporta un incendio en un puente/viaducto. Bomberos y Defensa Civil acudieron al lugar. Se recomienda evitar la zona y no inhalar humo.,Incendio,-25.290051,-57.701411,7/27/2025
"Tormenta con granizo en San Juan, San Juan: daños en vehículos",Vecinos reportan caída de granizo en la zona céntrica. Se registran daños menores y demoras. Se recomienda resguardarse y conducir a baja velocidad.,Granizo,-31.533796,-68.5208,3/5/2024
"Deslizamiento de ladera en Caleta Olivia, Santa Cruz: precaución en accesos","Se reporta (en las últimas horas) un deslizamiento de tierra/rocas en un corredor comercial. Puede haber calzada parcial o totalmente obstruida. Evitar transitar la zona hasta nuevo aviso. Si tenés info actualizada, comentá para ayudar a otros.",Deslizamiento,-46.438003,-67.529318,9/10/2024
"Deslizamiento de ladera en Ushuaia, Tierra del Fuego: precaución en accesos",Se reporta (esta mañana) un deslizamiento de tierra/rocas sobre un acceso principal. Puede haber calzada parcial o totalmente obstruida. Evitar transitar la zona hasta nuevo aviso.,Deslizamiento,-54.808358,-68.314041,11/18/2025
"Incendio forestal cerca de Río Cuarto, Córdoba: humo visible",Se reporta un foco de incendio en vegetación en inmediaciones de una escuela. Brigadistas trabajan para contenerlo. No acercarse a la zona y reportar nuevos focos. El humo puede afectar la visibilidad y la calidad del aire.,Incendio forestal,-33.143933,-64.336933,11/7/2025
"Ráfagas fuertes en Río Gallegos, Santa Cruz: caída de ramas y carteles","Se reportan ráfagas intensas cerca de un parque/plaza. Hay ramas caídas y reducción de visibilidad en algunos tramos. Evitar circular bajo árboles y estructuras inestables. Si tenés info actualizada, comentá para ayudar a otros.",Vientos fuertes,-51.629105,-69.217564,11/14/2025
"Corte parcial por protesta en San Salvador de Jujuy, Jujuy",Vecinos informan una manifestación en la salida hacia la ruta. Hay cortes parciales/total de calzada y demoras. Se recomienda usar vías alternativas.,Protesta,-24.190523,-65.308103,4/4/2024
"Corte de luz en Mar del Plata, Buenos Aires: cuadrillas revisan la red","Se registran interrupciones del servicio eléctrico en un corredor comercial. La empresa distribuidora indicó tareas de reparación. Se sugiere desconectar artefactos sensibles. Si tenés info actualizada, comentá para ayudar a otros.",Corte de energía,-38.012439,-57.541554,10/29/2024
"Choque en Corrientes, Corrientes: tránsito reducido","Testigos informan (al mediodía) un accidente de tránsito en un barrio residencial. Se recomienda tomar desvíos y respetar indicaciones del personal en el lugar. Si tenés info actualizada, comentá para ayudar a otros.",Accidente vial,-27.482973,-58.852827,3/8/2025
"Choque en San Francisco, Córdoba: tránsito reducido",Testigos informan un accidente de tránsito en un corredor comercial. Se recomienda tomar desvíos y respetar indicaciones del personal en el lugar.,Accidente vial,-31.415875,-62.107332,2/28/2024
"Corte de luz en Jáchal, San Juan: cuadrillas revisan la red",Se registran interrupciones del servicio eléctrico en inmediaciones de una escuela. La empresa distribuidora indicó tareas de reparación. Se sugiere desconectar artefactos sensibles.,Corte de energía,-30.221602,-68.771675,8/15/2024
"Alerta por robos en Posadas, Misiones: piden reforzar cuidados","Se reportan hechos de inseguridad en la zona céntrica. Vecinos solicitan mayor presencia policial. Evitar exhibir objetos de valor y denunciar al 911. Si tenés info actualizada, comentá para ayudar a otros.",Robo,-27.3365,-55.913928,5/12/2024
"Incendio en Puerto Madryn, Chubut: bomberos trabajan en el lugar","Se reporta (esta tarde) un incendio cerca de una estación de servicio. Bomberos y Defensa Civil acudieron al lugar. Se recomienda evitar la zona y no inhalar humo. Si tenés info actualizada, comentá para ayudar a otros.",Incendio,-42.76148,-65.036635,7/29/2024
"Atención: aumento de consultas respiratorias en Caleta Olivia, Santa Cruz","Vecinos informan alta demanda en guardias cerca de una estación de servicio. Se recomienda uso de barbijo en centros de salud si hay síntomas y ventilar ambientes. Si tenés info actualizada, comentá para ayudar a otros.",Salud,-46.41033,-67.555783,1/19/2024
"Choque en Belén, Catamarca: tránsito reducido","Testigos informan un accidente de tránsito en un corredor comercial. Se recomienda tomar desvíos y respetar indicaciones del personal en el lugar. Si tenés info actualizada, comentá para ayudar a otros.",Accidente vial,-27.679623,-67.008865,3/18/2025
"Sismo percibido en Chilecito, La Rioja: sin daños reportados","Usuarios reportan un temblor en un corredor comercial. Por el momento no se informan daños. Mantener la calma y seguir recomendaciones de Defensa Civil. Se recomienda revisar instalaciones de gas y electricidad. Si tenés info actualizada, comentá para ayudar a otros. (al mediodía).",Sismo,-29.176938,-67.480063,10/13/2025
"Incendio en San Martín (Mza), Mendoza: bomberos trabajan en el lugar","Se reporta un incendio cerca de una estación de servicio. Bomberos y Defensa Civil acudieron al lugar. Se recomienda evitar la zona y no inhalar humo. Si tenés info actualizada, comentá para ayudar a otros.",Incendio,-33.058209,-68.474156,2/26/2024
"Atención: aumento de consultas respiratorias en Caleta Olivia, Santa Cruz",Vecinos informan alta demanda en guardias en inmediaciones de una escuela. Se recomienda uso de barbijo en centros de salud si hay síntomas y ventilar ambientes.,Salud,-46.467286,-67.546879,10/2/2024
"Incendio forestal cerca de Ushuaia, Tierra del Fuego: humo visible",Se reporta un foco de incendio en vegetación en un puente/viaducto. Brigadistas trabajan para contenerlo. No acercarse a la zona y reportar nuevos focos.,Incendio forestal,-54.817233,-68.27506,11/12/2024
"Incendio en La Rioja, La Rioja: bomberos trabajan en el lugar","Se reporta un incendio en un puente/viaducto. Bomberos y Defensa Civil acudieron al lugar. Se recomienda evitar la zona y no inhalar humo. Si tenés info actualizada, comentá para ayudar a otros.",Incendio,-29.412634,-66.873841,5/31/2025
"Altas temperaturas en Santa Fe, Santa Fe: alertan por golpe de calor","Se reportan temperaturas elevadas en un barrio residencial. Recomiendan hidratarse, evitar exposición al sol en horas pico y prestar atención a niños y adultos mayores. Protección Civil recomienda evitar actividad física al aire libre por la tarde. Si tenés info actualizada, comentá para ayudar a otros.",Ola de calor,-31.639661,-60.712021,10/6/2025
"Deslizamiento de ladera en Termas de Río Hondo, Santiago del Estero: precaución en accesos",Se reporta un deslizamiento de tierra/rocas cerca de una estación de servicio. Puede haber calzada parcial o totalmente obstruida. Evitar transitar la zona hasta nuevo aviso.,Deslizamiento,-27.470755,-64.865629,11/29/2024
"Altas temperaturas en Salta, Salta: alertan por golpe de calor","Se reportan (en las últimas horas) temperaturas elevadas en un área industrial. Recomiendan hidratarse, evitar exposición al sol en horas pico y prestar atención a niños y adultos mayores. Protección Civil recomienda evitar actividad física al aire libre por la tarde.",Ola de calor,-24.77446,-65.409169,6/1/2025
"Deslizamiento de ladera en Caleta Olivia, Santa Cruz: precaución en accesos",Se reporta un deslizamiento de tierra/rocas en la zona céntrica. Puede haber calzada parcial o totalmente obstruida. Evitar transitar la zona hasta nuevo aviso.,Deslizamiento,-46.41643,-67.517026,12/10/2025
"Incendio en Rosario, Santa Fe: bomberos trabajan en el lugar","Se reporta un incendio en la zona céntrica. Bomberos y Defensa Civil acudieron al lugar. Se recomienda evitar la zona y no inhalar humo. Si tenés info actualizada, comentá para ayudar a otros.",Incendio,-32.967905,-60.630351,7/25/2025
"Incendio forestal cerca de Malargüe, Mendoza: humo visible","Se reporta un foco de incendio en vegetación cerca de un parque/plaza. Brigadistas trabajan para contenerlo. No acercarse a la zona y reportar nuevos focos. El humo puede afectar la visibilidad y la calidad del aire. Si tenés info actualizada, comentá para ayudar a otros.",Incendio forestal,-35.501293,-69.55835,7/2/2025
"Alerta por robos en Villa Carlos Paz, Córdoba: piden reforzar cuidados",Se reportan hechos de inseguridad en inmediaciones de una escuela. Vecinos solicitan mayor presencia policial. Evitar exhibir objetos de valor y denunciar al 911.,Robo,-31.438913,-64.482414,8/24/2024
"Nevada en Viedma, Río Negro: rutas con baja adherencia","Se registran nevadas en un barrio residencial. Puede haber hielo en calzada y reducción de visibilidad. Portar cadenas y consultar el estado de rutas antes de viajar. Se aconseja manejar con cadenas y luces bajas. Si tenés info actualizada, comentá para ayudar a otros.",Nevada,-40.797482,-62.989682,10/20/2025
"Altas temperaturas en San Miguel de Tucumán, Tucumán: alertan por golpe de calor","Se reportan temperaturas elevadas en inmediaciones de una escuela. Recomiendan hidratarse, evitar exposición al sol en horas pico y prestar atención a niños y adultos mayores. Protección Civil recomienda evitar actividad física al aire libre por la tarde.",Ola de calor,-26.801031,-65.239594,5/8/2025
"Atención: aumento de consultas respiratorias en Santa Rosa, La Pampa",Vecinos informan alta demanda en guardias en un barrio residencial. Se recomienda uso de barbijo en centros de salud si hay síntomas y ventilar ambientes.,Salud,-36.632849,-64.289608,4/20/2025
"Demoras en transporte en Posadas, Misiones","Usuarios informan (esta noche) demoras y cancelaciones sobre un acceso principal. Se recomienda consultar estados oficiales y prever tiempos extra. Si tenés info actualizada, comentá para ayudar a otros.",Transporte,-27.39105,-55.902462,6/2/2025
"Ráfagas fuertes en Zárate, Buenos Aires: caída de ramas y carteles","Se reportan (en las últimas horas) ráfagas intensas sobre un acceso principal. Hay ramas caídas y reducción de visibilidad en algunos tramos. Evitar circular bajo árboles y estructuras inestables. Si tenés info actualizada, comentá para ayudar a otros.",Vientos fuertes,-34.115791,-59.037027,9/9/2025
"Calles anegadas en Rafaela, Santa Fe tras lluvias intensas","Vecinos informan anegamientos y acumulación de agua en un puente/viaducto. Hay demoras en el tránsito y se solicita circular con precaución. Algunos desagües se vieron superados por la intensidad de la lluvia. Si tenés info actualizada, comentá para ayudar a otros.",Inundación,-31.253432,-61.51951,1/4/2024
"Tormenta con granizo en San Francisco, Córdoba: daños en vehículos","Vecinos reportan caída de granizo cerca de una estación de servicio. Se registran daños menores y demoras. Se recomienda resguardarse y conducir a baja velocidad. Si tenés info actualizada, comentá para ayudar a otros.",Granizo,-31.450645,-62.092821,11/28/2024
"Calles anegadas en Campana, Buenos Aires tras lluvias intensas",Vecinos informan anegamientos y acumulación de agua sobre un acceso principal. Hay demoras en el tránsito y se solicita circular con precaución.,Inundación,-34.17321,-58.966867,2/6/2025
"Derrame de combustible en Río Cuarto, Córdoba: calzada resbaladiza",Se reporta un derrame de combustible en la salida hacia la ruta. Personal trabaja en la limpieza. Circular con extrema precaución y mantener distancia.,Derrame,-33.136362,-64.376803,11/8/2025
"Incendio forestal cerca de Comodoro Rivadavia, Chubut: humo visible","Se reporta (esta tarde) un foco de incendio en vegetación en la salida hacia la ruta. Brigadistas trabajan para contenerlo. No acercarse a la zona y reportar nuevos focos. El humo puede afectar la visibilidad y la calidad del aire. Si tenés info actualizada, comentá para ayudar a otros.",Incendio forestal,-45.846991,-67.500935,1/30/2024
"Deslizamiento de ladera en Belén, Catamarca: precaución en accesos",Se reporta (esta noche) un deslizamiento de tierra/rocas sobre un acceso principal. Puede haber calzada parcial o totalmente obstruida. Evitar transitar la zona hasta nuevo aviso.,Deslizamiento,-27.658948,-67.01284,10/21/2025
"Incendio en San Clemente del Tuyú, Buenos Aires: bomberos trabajan en el lugar","Se reporta un incendio en un corredor comercial. Bomberos y Defensa Civil acudieron al lugar. Se recomienda evitar la zona y no inhalar humo. Si tenés info actualizada, comentá para ayudar a otros.",Incendio,-36.36628,-56.735234,10/30/2025
"Incendio forestal cerca de Puerto Madryn, Chubut: humo visible",Se reporta un foco de incendio en vegetación cerca de un parque/plaza. Brigadistas trabajan para contenerlo. No acercarse a la zona y reportar nuevos focos. El humo puede afectar la visibilidad y la calidad del aire.,Incendio forestal,-42.78916,-65.058801,7/31/2024
"Choque en Belén, Catamarca: tránsito reducido",Testigos informan un accidente de tránsito cerca de un parque/plaza. Se recomienda tomar desvíos y respetar indicaciones del personal en el lugar.,Accidente vial,-27.659002,-67.049624,7/16/2024
"Altas temperaturas en San Fernando del Valle de Catamarca, Catamarca: alertan por golpe de calor","Se reportan (esta tarde) temperaturas elevadas en un corredor comercial. Recomiendan hidratarse, evitar exposición al sol en horas pico y prestar atención a niños y adultos mayores. Protección Civil recomienda evitar actividad física al aire libre por la tarde. Si tenés info actualizada, comentá para ayudar a otros.",Ola de calor,-28.451038,-65.803071,1/21/2024
"Derrame de combustible en Zárate, Buenos Aires: calzada resbaladiza","Se reporta (esta mañana) un derrame de combustible en un corredor comercial. Personal trabaja en la limpieza. Circular con extrema precaución y mantener distancia. Si tenés info actualizada, comentá para ayudar a otros.",Derrame,-34.101611,-59.024143,1/3/2025
"Atención: aumento de consultas respiratorias en Cutral Có, Neuquén","Vecinos informan alta demanda en guardias sobre un acceso principal. Se recomienda uso de barbijo en centros de salud si hay síntomas y ventilar ambientes. Si tenés info actualizada, comentá para ayudar a otros.",Salud,-38.945126,-69.222552,3/18/2025
"Incendio en Resistencia, Chaco: bomberos trabajan en el lugar",Se reporta un incendio en la salida hacia la ruta. Bomberos y Defensa Civil acudieron al lugar. Se recomienda evitar la zona y no inhalar humo.,Incendio,-27.453004,-58.981469,1/1/2024
"Nevada en Cutral Có, Neuquén: rutas con baja adherencia","Se registran (al mediodía) nevadas cerca de un parque/plaza. Puede haber hielo en calzada y reducción de visibilidad. Portar cadenas y consultar el estado de rutas antes de viajar. Se aconseja manejar con cadenas y luces bajas. Si tenés info actualizada, comentá para ayudar a otros.",Nevada,-38.959076,-69.202987,4/21/2024
"Demoras en transporte en Rosario, Santa Fe","Usuarios informan (en las últimas horas) demoras y cancelaciones en la zona céntrica. Se recomienda consultar estados oficiales y prever tiempos extra. Si tenés info actualizada, comentá para ayudar a otros.",Transporte,-32.919005,-60.64177,11/7/2024
"Atención: aumento de consultas respiratorias en Cutral Có, Neuquén",Vecinos informan (esta mañana) alta demanda en guardias en la salida hacia la ruta. Se recomienda uso de barbijo en centros de salud si hay síntomas y ventilar ambientes.,Salud,-38.950179,-69.204688,7/15/2024
"Deslizamiento de ladera en San Carlos de Bariloche, Río Negro: precaución en accesos","Se reporta (esta noche) un deslizamiento de tierra/rocas en la zona céntrica. Puede haber calzada parcial o totalmente obstruida. Evitar transitar la zona hasta nuevo aviso. Si tenés info actualizada, comentá para ayudar a otros.",Deslizamiento,-41.146784,-71.321319,9/5/2024
"Deslizamiento de ladera en Puerto Madryn, Chubut: precaución en accesos","Se reporta un deslizamiento de tierra/rocas sobre un acceso principal. Puede haber calzada parcial o totalmente obstruida. Evitar transitar la zona hasta nuevo aviso. Si tenés info actualizada, comentá para ayudar a otros.",Deslizamiento,-42.760221,-65.065181,7/17/2024
"Altas temperaturas en Rosario, Santa Fe: alertan por golpe de calor","Se reportan temperaturas elevadas sobre un acceso principal. Recomiendan hidratarse, evitar exposición al sol en horas pico y prestar atención a niños y adultos mayores. Protección Civil recomienda evitar actividad física al aire libre por la tarde.",Ola de calor,-32.960593,-60.678454,12/12/2024
"Corte parcial por protesta en Tilcara, Jujuy","Vecinos informan una manifestación en la salida hacia la ruta. Hay cortes parciales/total de calzada y demoras. Se recomienda usar vías alternativas. Si tenés info actualizada, comentá para ayudar a otros.",Protesta,-23.563752,-65.395507,7/29/2024
"Ráfagas fuertes en Luján, Buenos Aires: caída de ramas y carteles","Se reportan (esta tarde) ráfagas intensas sobre un acceso principal. Hay ramas caídas y reducción de visibilidad en algunos tramos. Evitar circular bajo árboles y estructuras inestables. Si tenés info actualizada, comentá para ayudar a otros.",Vientos fuertes,-34.59376,-59.097684,9/16/2025
"Ráfagas fuertes en San Clemente del Tuyú, Buenos Aires: caída de ramas y carteles",Se reportan (esta noche) ráfagas intensas en la zona céntrica. Hay ramas caídas y reducción de visibilidad en algunos tramos. Evitar circular bajo árboles y estructuras inestables.,Vientos fuertes,-36.383638,-56.751682,9/2/2025
"Incendio en Pergamino, Buenos Aires: bomberos trabajan en el lugar","Se reporta un incendio cerca de una estación de servicio. Bomberos y Defensa Civil acudieron al lugar. Se recomienda evitar la zona y no inhalar humo. Si tenés info actualizada, comentá para ayudar a otros.",Incendio,-33.870985,-60.559637,3/22/2024
"Ráfagas fuertes en San Martín de los Andes, Neuquén: caída de ramas y carteles",Se reportan ráfagas intensas cerca de una estación de servicio. Hay ramas caídas y reducción de visibilidad en algunos tramos. Evitar circular bajo árboles y estructuras inestables.,Vientos fuertes,-40.159843,-71.36469,1/22/2025
"Nevada en San Martín de los Andes, Neuquén: rutas con baja adherencia","Se registran (esta mañana) nevadas cerca de una estación de servicio. Puede haber hielo en calzada y reducción de visibilidad. Portar cadenas y consultar el estado de rutas antes de viajar. Se aconseja manejar con cadenas y luces bajas. Si tenés info actualizada, comentá para ayudar a otros.",Nevada,-40.166812,-71.326069,5/6/2024
"Derrame de combustible en Venado Tuerto, Santa Fe: calzada resbaladiza",Se reporta un derrame de combustible en inmediaciones de una escuela. Personal trabaja en la limpieza. Circular con extrema precaución y mantener distancia.,Derrame,-33.772645,-61.969592,1/16/2025
"Nevada en San Juan, San Juan: rutas con baja adherencia",Se registran nevadas en un puente/viaducto. Puede haber hielo en calzada y reducción de visibilidad. Portar cadenas y consultar el estado de rutas antes de viajar. Se aconseja manejar con cadenas y luces bajas.,Nevada,-31.5296,-68.551519,10/2/2025
"Derrame de combustible en Tandil, Buenos Aires: calzada resbaladiza","Se reporta un derrame de combustible en la zona céntrica. Personal trabaja en la limpieza. Circular con extrema precaución y mantener distancia. Si tenés info actualizada, comentá para ayudar a otros.",Derrame,-37.35508,-59.155004,3/5/2024
"Nevada en San Rafael, Mendoza: rutas con baja adherencia","Se registran nevadas en inmediaciones de una escuela. Puede haber hielo en calzada y reducción de visibilidad. Portar cadenas y consultar el estado de rutas antes de viajar. Se aconseja manejar con cadenas y luces bajas. Si tenés info actualizada, comentá para ayudar a otros.",Nevada,-34.645085,-68.315314,12/7/2025
"Incendio en San Isidro, Buenos Aires: bomberos trabajan en el lugar",Se reporta un incendio en un área industrial. Bomberos y Defensa Civil acudieron al lugar. Se recomienda evitar la zona y no inhalar humo.,Incendio,-34.444205,-58.557145,8/27/2024
"Corte parcial por protesta en Gualeguaychú, Entre Ríos",Vecinos informan una manifestación en inmediaciones de una escuela. Hay cortes parciales/total de calzada y demoras. Se recomienda usar vías alternativas.,Protesta,-33.031438,-58.517408,1/9/2024
"Deslizamiento de ladera en Salta, Salta: precaución en accesos","Se reporta (esta tarde) un deslizamiento de tierra/rocas sobre un acceso principal. Puede haber calzada parcial o totalmente obstruida. Evitar transitar la zona hasta nuevo aviso. Si tenés info actualizada, comentá para ayudar a otros.",Deslizamiento,-24.76507,-65.417457,6/8/2025
"Choque en San Salvador de Jujuy, Jujuy: tránsito reducido","Testigos informan (en las últimas horas) un accidente de tránsito en la salida hacia la ruta. Se recomienda tomar desvíos y respetar indicaciones del personal en el lugar. Si tenés info actualizada, comentá para ayudar a otros.",Accidente vial,-24.183123,-65.319858,3/12/2025
"Tormenta con granizo en Río Cuarto, Córdoba: daños en vehículos","Vecinos reportan caída de granizo en un área industrial. Se registran daños menores y demoras. Se recomienda resguardarse y conducir a baja velocidad. Si tenés info actualizada, comentá para ayudar a otros. (esta noche).",Granizo,-33.093894,-64.321573,6/26/2024
"Derrame de combustible en Caucete, San Juan: calzada resbaladiza",Se reporta (en las últimas horas) un derrame de combustible en un área industrial. Personal trabaja en la limpieza. Circular con extrema precaución y mantener distancia.,Derrame,-31.633581,-68.271134,5/4/2024
"Choque en Avellaneda, Buenos Aires: tránsito reducido","Testigos informan (esta tarde) un accidente de tránsito en un área industrial. Se recomienda tomar desvíos y respetar indicaciones del personal en el lugar. Si tenés info actualizada, comentá para ayudar a otros.",Accidente vial,-34.679149,-58.381754,9/8/2024
"Demoras en transporte en Quilmes, Buenos Aires","Usuarios informan demoras y cancelaciones sobre un acceso principal. Se recomienda consultar estados oficiales y prever tiempos extra. Si tenés info actualizada, comentá para ayudar a otros.",Transporte,-34.694653,-58.252261,8/24/2024
